Exp,GazeP,Impf,DisType,Para,mean,HDI_low,HDI_high
S8,Nose,Neu,Bernoulli(Choice),Type,0.47184683355761975,-0.09245312487942403,1.0024777036593102
S8,Nose,Neu,Beta(Weight),Type,-0.5410109311918668,-0.6626894291426181,-0.4194895277291468
S8,Nose,Ext,Bernoulli(Choice),Type,0.22497546931203272,-0.3122543803955341,0.8021353596986913
S8,Nose,Ext,Beta(Weight),Type,-0.6017472300466921,-0.7225800795460748,-0.4832509047967325
S8,Nose,Ope,Bernoulli(Choice),Type,0.2817342839372778,-0.3665918952462074,0.8539785053267911
S8,Nose,Ope,Beta(Weight),Type,-0.6182051394917951,-0.7328340571017534,-0.507957064362478
S8,Nose,Con,Bernoulli(Choice),Type,0.487805774006421,-0.08998226471322898,1.0180784149074105
S8,Nose,Con,Beta(Weight),Type,-0.5440223535305422,-0.6671071733788171,-0.42754044000864777
S8,Mouth,Agr,Bernoulli(Choice),Type,0.3355776659184344,-0.06151127766747003,0.7360380670715154
S8,Mouth,Agr,Beta(Weight),Type,-0.17527767865644667,-0.4316980379551969,0.10233543210116341
S8,Mouth,Neu,Bernoulli(Choice),Type,0.5856060773625971,0.14943246743150487,1.0691397769033726
S8,Mouth,Neu,Beta(Weight),Type,-0.18646469686561054,-0.45532114160330794,0.08627261332935256
S8,Mouth,Ext,Bernoulli(Choice),Type,0.4422626505450119,0.05822163225319216,0.818510131419712
S8,Mouth,Ext,Beta(Weight),Type,-0.040481678437921734,-0.2820283089158017,0.18477709268824338
S8,Mouth,Ope,Bernoulli(Choice),Type,0.11357915438055805,-0.29651300867223934,0.5019287314720655
S8,Mouth,Ope,Beta(Weight),Type,0.073421011046919,-0.14864553172845446,0.29726553179522414
S8,Mouth,Con,Bernoulli(Choice),Type,0.5517299489146051,0.1326458048798463,0.9879876876790953
S8,Mouth,Con,Beta(Weight),Type,-0.006737430555990534,-0.2895679838638918,0.2674042036443234
S12,Glabella,Agr,Bernoulli(Choice),Type,-1.5369337938195555,-2.2996741546952126,-0.7923059288546431
S12,Glabella,Agr,Beta(Weight),Type,-0.44583238233535094,-0.577388566720071,-0.3189443135961978
S12,Glabella,Neu,Bernoulli(Choice),Type,-1.2742414541792844,-2.219314744314457,-0.3809480826004127
S12,Glabella,Neu,Beta(Weight),Type,-0.5358822737370963,-0.6478258320715076,-0.416693119777491
S12,Glabella,Ext,Bernoulli(Choice),Type,-1.0548531776585603,-1.8437084737761207,-0.29000137701285666
S12,Glabella,Ext,Beta(Weight),Type,-0.6005399508478989,-0.7233697619995662,-0.4785002244287887
S12,Glabella,Ope,Bernoulli(Choice),Type,-1.9045505270431282,-2.9315070649523167,-0.945642289634991
S12,Glabella,Ope,Beta(Weight),Type,-0.5430952387983169,-0.674412502105905,-0.425274758432601
