Exp,AOI,Imp,Zero_Prop,Model,CRPS,RMSE,MAE
S12,GazeGL,Ope,0.03634085213032581,Logit_LMM,0.003662964711847206,0.008937191131326712,0.00549179898011568
S12,GazeGL,Ope,0.03634085213032581,Freq_HB,0.0039315073185071095,0.009812401060578799,0.005788134974331499
S12,GazeGL,Con,0.03156565656565657,Bayes_HB,0.003926102643986552,0.009097226366741823,0.005921925368275204
S12,GazeGL,Con,0.03156565656565657,Bayes_Beta,0.00400576713653246,0.009156252957296223,0.006154524166223999
S12,GazeGL,Con,0.03156565656565657,Logit_LMM,0.004044794236057899,0.00914695646052199,0.006140996121727559
S12,GazeGL,Con,0.03156565656565657,Freq_HB,0.004464204216273234,0.010528855459236534,0.00664949073161831
S12,GazeFH,Agr,0.003778337531486146,Bayes_HB,0.0011376813313279939,0.0021008050363566485,0.0016280488941905955
S12,GazeFH,Agr,0.003778337531486146,Bayes_Beta,0.0011986093784867701,0.002221384790542981,0.0018115646382604316
S12,GazeFH,Agr,0.003778337531486146,Logit_LMM,0.0012633309418256676,0.0023254202328807524,0.0019241089520957884
S12,GazeFH,Agr,0.003778337531486146,Freq_HB,0.001267085869126061,0.002351645502522761,0.0018100144472875193
S12,GazeFH,Neu,0.012690355329949238,Bayes_HB,9.442568595916404e-4,0.0017332440201988154,0.0013474292117832834
S12,GazeFH,Neu,0.012690355329949238,Bayes_Beta,0.001025049012608966,0.0018995964516220288,0.0015581542997125872
S12,GazeFH,Neu,0.012690355329949238,Logit_LMM,0.0010999436978108737,0.0020143548557918552,0.0016733395324080537
S12,GazeFH,Neu,0.012690355329949238,Freq_HB,0.0010517967580940789,0.0019457337578405035,0.0014815471454869358
S12,GazeFH,Ext,0.010075566750629723,Bayes_HB,8.769587353611033e-4,0.0015952876767923562,0.0012422469790389847
S12,GazeFH,Ext,0.010075566750629723,Bayes_Beta,9.557915081822404e-4,0.0017644518820765754,0.0014587822947490989
S12,GazeFH,Ext,0.010075566750629723,Logit_LMM,0.0010350003532649922,0.001883570047028064,0.0015775141403002037
S12,GazeFH,Ext,0.010075566750629723,Freq_HB,9.961387992120936e-4,0.0018210017924005035,0.0014115846304595151
S12,GazeFH,Ope,0.021303258145363407,Bayes_HB,9.420611160814728e-4,0.0017199477991639532,0.0013480998200837784
S12,GazeFH,Ope,0.021303258145363407,Bayes_Beta,0.0010078945702571428,0.0018556173028201589,0.001533563574709926
S12,GazeFH,Ope,0.021303258145363407,Logit_LMM,0.001085528455264757,0.0019793750331806416,0.0016599595379547115
S12,GazeFH,Ope,0.021303258145363407,Freq_HB,0.0010431425383770742,0.0019157312306748934,0.0014673705737177723
S12,GazeFH,Con,0.005050505050505051,Bayes_HB,0.0010629273140152142,0.002021099672615458,0.0015180449697338482
S12,GazeFH,Con,0.005050505050505051,Bayes_Beta,0.001138847143122046,0.0021525779457728773,0.0017352500192543657
S12,GazeFH,Con,0.005050505050505051,Logit_LMM,0.0012129236675554027,0.0022553727671017023,0.0018516569051319986
S12,GazeFH,Con,0.005050505050505051,Freq_HB,0.0012422521704672292,0.002372508835505341,0.00176889852096276
S12,GazeEB,Agr,0.005037783375314861,Bayes_HB,0.0020814895762353122,0.004381307587652121,0.0030643519505773494
S12,GazeEB,Agr,0.005037783375314861,Bayes_Beta,0.0021433477199223525,0.004401078630109975,0.003247350850108463
S12,GazeEB,Agr,0.005037783375314861,Logit_LMM,0.0021782128857078397,0.004441334339227735,0.0033256431293783692
S12,GazeEB,Agr,0.005037783375314861,Freq_HB,0.0024392282554021915,0.005046242930965531,0.003561700882567766
S12,GazeEB,Neu,0.006345177664974619,Bayes_HB,0.0019783873307257613,0.004005907134452023,0.002859329948549496
S12,GazeEB,Neu,0.006345177664974619,Bayes_Beta,0.002030316925554825,0.004050254319454515,0.0030274570481756903
S12,GazeEB,Neu,0.006345177664974619,Logit_LMM,0.002119868829913941,0.004202170545283544,0.0032059098588878595
S12,GazeEB,Neu,0.006345177664974619,Freq_HB,0.002466778388431242,0.005027402356374875,0.003583120070754103
S12,GazeEB,Ext,0.005037783375314861,Bayes_HB,0.0016763203527163976,0.0036269946799939883,0.0024448050053654967
S12,GazeEB,Ext,0.005037783375314861,Bayes_Beta,0.0017457383554623195,0.003646701321785274,0.0026434731390715402
