participant,expName,picname,key_resp_2.keys,key_resp_confi.keys,age,gender,Ext,Agr,Con,Neu,Ope,Valp,GazeGL,GazeFH,GazeEB,GazeEY,GazeNO,GazeMO,MouseGL,MouseFH,MouseEB,MouseEY,MouseNO,MouseMO
Subj41,inferExpPartS12,ConM4.png,5,3,20,Female,6,6,6.5,4.5,3.5,1,0.02672417199028414,0.00668977807711211,0.01133296728461718,0.01958824673227061,0.00110124563382445,0,3.826791791704108e-4,0.00816778405296637,0.00287988224251051,0.00734825072498443,0.00323943166633062,0
Subj41,inferExpPartS12,AgrM3.png,5,5,20,Female,6,6,6.5,4.5,3.5,1,0.03149396950534882,0.00606901481661895,0.01643358591286533,0.00332004105941448,0.00218229106155471,0,0.00258227339299721,0.00630313457253793,0.00384520297329194,0.0050061736592589,0.00282068447043554,0
Subj41,inferExpPartS12,ExtF3.png,2,6,20,Female,6,6,6.5,4.5,3.5,1,0.04592489858927977,0.0059803582002605,0.01084222658046049,0.01419505533574319,5.357008169182384e-5,0,0.0014309751820645,0.0055204282827159,0.00447748847976626,0.00234373115801365,0.00767136163713821,0
Subj41,inferExpPartS12,AgrM5.png,2,5,20,Female,6,6,6.5,4.5,3.5,1,0.01781985728630148,0.00448801906869869,0.00875832133849756,0.00554376472605622,0.00109802658376281,0,0.00154674474413097,0.00458229876604664,0.00330704711695447,1.2460223965150185e-4,0.00238276306894034,0
Subj41,inferExpPartS12,ConF4.png,6,5,20,Female,6,6,6.5,4.5,3.5,1,0.00843343238639875,0.00828557179881712,0.00524217213369742,0.01005606828455972,9.553967923905255e-4,0,4.314142631981177e-4,0.00525324829095695,0.00277458539052075,0.00172241740423708,0.00302850234711139,0
Subj41,inferExpPartS12,AgrF4.png,6,6,20,Female,6,6,6.5,4.5,3.5,1,0.02187231431783164,0.01391792672332834,0.00290383373997774,0.01274617417279901,0.00598382751109605,0,7.801069984259164e-5,0.00413622517008445,0.00244331908265899,0.00275178359434132,0.00114747682256377,0
Subj41,inferExpPartS12,OpeM1.png,3,3,20,Female,6,6,6.5,4.5,3.5,1,0.02788122453641557,0.00133124828813179,0.00413970136510035,0.0094998515393168,0.00481797575250142,0,0.00457240725567196,0.00281152752234504,0.00189356253798381,0.00314012176008118,0.00292842191292402,9.620073038863306e-7
Subj41,inferExpPartS12,NeuF3.png,4,2,20,Female,6,6,6.5,4.5,3.5,1,0.02081803903035417,0.00639283989314485,0.01169832335917558,0.01138730580244965,0.00137954793270209,0,1.790229077475679e-4,0.00282777420178809,0.00360515491420003,0.00377574461262661,0.00310900752662621,1.8008418295677814e-5
Subj41,inferExpPartS12,ConF5.png,7,6,20,Female,6,6,6.5,4.5,3.5,1,0.01505409614288517,0.00631854785710733,0.00489642320029279,0.01498263360553456,0.00590309510561557,0,3.005165184482483e-4,0.00296538266525139,0.00158385520460399,0.00129163173552286,0.00227152695591782,0.0011176581999791
Subj41,inferExpPartS12,ExtM4.png,6,3,20,Female,6,6,6.5,4.5,3.5,1,0.01129295867962073,0.00287666117551896,0.00675285620507876,0.01651955180753702,0.00273204239361129,0,0.00904174534032671,0.00266960325296302,0.00367262620866037,0.00333203601221578,0.00405161209530673,0
Subj41,inferExpPartS12,OpeM2.png,2,6,20,Female,6,6,6.5,4.5,3.5,0.9643705463182898,0.00151299804335709,0.00118777200838168,0.00533983538797632,0.00883673035071321,0.00762752257967767,0,0.00105234882742945,0.00316649626756812,0.0034504838860297,0.01066417589587648,0.00259357777939819,0.00291383601389179
Subj41,inferExpPartS12,NeuM4.png,6,5,20,Female,6,6,6.5,4.5,3.5,1,9.11715336757141e-4,0.00338731526381253,0.00321771490889093,0.022662116086242,0.00258809839263567,0,0.00346884807260608,0.00627039734523852,0.0019454587342138,0.00259770634961619,0.003821109914222,2.7861612115200176e-4
Subj41,inferExpPartS12,OpeF5.png,5,5,20,Female,6,6,6.5,4.5,3.5,0.9596199524940616,0.0081411764333249,0.00315097225653811,0.00760284261257017,0.0109355663638436,0.00513869248512693,0,0.00484746266839078,0.00814580228362664,0.00471791196269952,0.00247536676222038,0.00628702182810506,9.61232755335339e-4
Subj41,inferExpPartS12,AgrF2.png,3,3,20,Female,6,6,6.5,4.5,3.5,0.9666666666666668,0.00696144794654373,7.06309726436038e-4,0.00240271426065869,0.02053355449146988,0.00652083024187791,0,0.00966550451532905,0.00327470420098359,0.00162610377587043,0.00224092652681653,0.00794736620253035,0.00528237495212525
